Warruwi School,(08) 8979 0222,keira.stewart@education.nt.gov.au,keira.stewart@education.nt.gov.au,"PMB 90, via WINNELLIE, 0821, NT","PMB 90, via WINNELLIE, 0821, NT"
Wanguri Primary School,(08) 8927 1655,wanguri.prim@education.nt.gov.au,wanguri.prim@education.nt.gov.au,"PO Box 40519, CASUARINA, 0811, NT","PO Box 40519, CASUARINA, 0811, NT"
Walungurru School,(08)  8964 6056,walungurru.school@education.nt.gov.au,walungurru.school@education.nt.gov.au,"PMB 14, via Alice Springs, 0872, NT","PMB 14, via Alice Springs, 0872, NT"
Wallace Rockhole School,(08) 8956 7330,wallace.rockhole@education.nt.gov.au,wallace.rockhole@education.nt.gov.au,"PO Box 2256, Alice Springs, 0871, NT","PO Box 2256, Alice Springs, 0871, NT"
Wagaman Primary School,(08) 8922 6011,wagaman.school@education.nt.gov.au,wagaman.school@education.nt.gov.au,"PO Box 40019, CASUARINA, 0811, NT","PO Box 40019, CASUARINA, 0811, NT"
Urapunga School,(08) 8975 4645,admin.urapunga@education.nt.gov.au,admin.urapunga@education.nt.gov.au,"PMB 12, via Katherine, 0852, NT","PMB 12, via Katherine, 0852, NT"
Top End School of Flexible Learning,(08) 899 77199,malakrc.det@education.nt.gov.au,malakrc.det@education.nt.gov.au,"PO Box 703, Karama, 0812, NT","PO Box 703, Karama, 0812, NT"
Tiwi College,08 89709024,tiwi.college@ntschools.net,tiwi.college@ntschools.net,"LMB 127, Winnellie, 0822, NT","LMB 127, Winnellie, 0822, NT"
Titjikala School,(08) 8956 0927,joanne.wickham@education.nt.gov.au,joanne.wickham@education.nt.gov.au,"PMB 130, via Alice Springs, 0872, NT","PMB 130, via Alice Springs, 0872, NT"
Tivendale School,(08) 899 95910,john.mackay@education.nt.gov.au,john.mackay@education.nt.gov.au,"PO Box 703, Karama, 0812, NT","PO Box 703, Karama, 0812, NT"
Tipperary Station School,(08) 8978 2765,rosemary.sullivan@education.nt.gov.au,rosemary.sullivan@education.nt.gov.au,"PMB 214, via Winnellie, 0822, NT","PMB 214, via Winnellie, 0822, NT"
Timber Creek School,(08) 8975 0714,timbercreek.admin@education.nt.gov.au,timbercreek.admin@education.nt.gov.au,"PMB 115, via Katherine, 0851, NT","PMB 115, via Katherine, 0851, NT"
Ti Tree School,(08) 8956 9743,ciaran.bailie@education.nt.gov.au,ciaran.bailie@education.nt.gov.au,"Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT"
Tennant Creek High School,(08) 8962 2102,admin.tchs@education.nt.gov.au,admin.tchs@education.nt.gov.au,"PO Box 546, Tennant Creek, 0861, NT","PO Box 546, Tennant Creek, 0861, NT"
TESTGOVSCHOOL2,n/a,n/a,n/a,"n/a, n/a, 0, n/a","n/a, n/a, 0, n/a"
TESTGOVSCHOOL1,n/a,n/a,n/a,"n/a, n/a, 0, n/a","n/a, n/a, 0, n/a"
Tennant Creek Primary School,(08) 896 32424,admin.tennasch@education.nt.gov.au,admin.tennasch@education.nt.gov.au,"PO Box 506, Tennant Creek, 0861, NT","PO Box 506, Tennant Creek, 0861, NT"
Taminmin College,(08) 898 37000,admin.taminmin@education.nt.gov.au,admin.taminmin@education.nt.gov.au,"PO Box 21, HUMPTY DOO, 0836, NT","PO Box 21, HUMPTY DOO, 0836, NT"
Stirling School,(08) 8956 9759,marita.mckenzie@education.nt.gov.au,marita.mckenzie@education.nt.gov.au,"Stirling Station, via Alice Springs, 0872, NT","Stirling Station, via Alice Springs, 0872, NT"
Stuart Park Primary School,(08) 899 77333,stuartpark.school@education.nt.gov.au,stuartpark.school@education.nt.gov.au,"PO Box 37421, Winnellie, 0831, NT","PO Box 37421, Winnellie, 0831, NT"
St Philip's College,(08) 8950 4511,info@stphilips.nt.edu.au,info@stphilips.nt.edu.au,"PO Box 33, Alice Springs, 0871, NT","PO Box 33, Alice Springs, 0871, NT"
St Pauls Catholic School,(08) 8985 1937,admin.stpauls@nt.catholic.edu.au,admin.stpauls@nt.catholic.edu.au,"PO Box 40344, Casuarina, 0811, NT","PO Box 40344, Casuarina, 0811, NT"
St Joseph's Flexible Learning Centre,0408 568 357,sjcflc@ereafsn.edu.au,sjcflc@ereafsn.edu.au,"P O Box 2991, Alice Springs, 0871, NT","P O Box 2991, Alice Springs, 0871, NT"
St Joseph's Catholic College,(08) 89723555,admin.stjosephs@nt.catholic.edu.au,admin.stjosephs@nt.catholic.edu.au,"PO Box 535, Katherine, 0850, NT","PO Box 535, Katherine, 0850, NT"
St Mary's Catholic School,(08) 8981 9796,admin.stmarys@nt.catholic.edu.au,admin.stmarys@nt.catholic.edu.au,"PO Box 2413, Darwin, 0801, NT","PO Box 2413, Darwin, 0801, NT"
St Johns Catholic College,(08) 8982 2222,admin.stjohns@nt.catholic.edu.au,admin.stjohns@nt.catholic.edu.au,"Mail Bag 13, Darwin, 0820, NT","Mail Bag 13, Darwin, 0820, NT"
St Francis of Assisi Catholic Primary School,(08) 8988 1212,admin.sfas@nt.catholic.edu.au,admin.sfas@nt.catholic.edu.au,"PO Box 921, Humpty Doo, , NT","PO Box 921, Humpty Doo, , NT"
St Francis Xavier School,(08) 8978 2427,dr.adminbox@nt.catholic.edu.au,dr.adminbox@nt.catholic.edu.au,"PMB 28, Daly River, 0822, NT","PMB 28, Daly River, 0822, NT"
St Andrew Lutheran School,(08) 8983 0300,admin@goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,"PO Box 1146, Howard Springs, 0831, NT","PO Box 1146, Howard Springs, 0831, NT"
Shepherdson College,(08) 8987 9044,principal.shepherdson@education.nt.gov.au,principal.shepherdson@education.nt.gov.au,"PMB 74, via WINELLIE, 0822, NT","PMB 74, via WINELLIE, 0822, NT"
Sattler Christian College,7922 1500,admin.scc@ntschools.net,admin.scc@ntschools.net,"PO Box 1138,, Coolalinga, 0839, NT","PO Box 1138,, Coolalinga, 0839, NT"
Sacred Heart Primary School,(08) 8924 8700,admin.shps@nt.catholic.edu.au,admin.shps@nt.catholic.edu.au,"PO Box 271, Palmerston, 0831, NT","PO Box 271, Palmerston, 0831, NT"
Sanderson Middle School,(08) 8927 8899,sanderson.middle@education.nt.gov.au,sanderson.middle@education.nt.gov.au,"PO Box 189, SANDERSON, 0813, NT","PO Box 189, SANDERSON, 0813, NT"
Royal Darwin Hospital School,(08) 8922 8736,tania.nicholls@education.nt.gov.au,tania.nicholls@education.nt.gov.au,"C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT"
Rosebery Primary School,(08) 792 30100,roseberyps.admin@education.nt.gov.au,roseberyps.admin@education.nt.gov.au,"PO Box 650, PALMERSTON, 0832, NT","PO Box 650, PALMERSTON, 0832, NT"
Ross Park Primary School,(08) 895 52000,rosspark.school@ntschools.net,rosspark.school@ntschools.net,"PO Box 364, ALICE SPRINGS, 0871, NT","PO Box 364, ALICE SPRINGS, 0871, NT"
Rockhampton Downs School,(08) 8964 4675,nerida.beattie@education.nt.gov.au,nerida.beattie@education.nt.gov.au,"PMB 34, Tennant Creek, 0862, NT","PMB 34, Tennant Creek, 0862, NT"
Robinson River School,(08) 8975 9956,merryn.curley@education.nt.gov.au,merryn.curley@education.nt.gov.au,"PMB 145, Katherine, 0851, NT","PMB 145, Katherine, 0851, NT"
Ramingining School,(08) 8979 7924,sue.mcavoy@education.nt.gov.au,sue.mcavoy@education.nt.gov.au,"PMB 125, via WINNELLIE, 0821, NT","PMB 125, via WINNELLIE, 0821, NT"
Pine Creek School,(08) 8976 1228,janet.purje@education.nt.gov.au,janet.purje@education.nt.gov.au,"PO Box 196, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT"
Pularumpi School,(08) 8978 3961,mel.dougherty@education.nt.gov.au,mel.dougherty@education.nt.gov.au,"PMB 51, via Winnellie, 0822, NT","PMB 51, via Winnellie, 0822, NT"
Pigeon Hole School,(08) 8975 0812,anne.pollock@education.nt.gov.au,anne.pollock@education.nt.gov.au,"PMB 10, via Katherine, 0852, NT","PMB 10, via Katherine, 0852, NT"
Peppimenarti School,(08) 8978 2455,chelsea.collins@education.nt.gov.au,chelsea.collins@education.nt.gov.au,"PMB 49, via Winnellie, 0822, NT","PMB 49, via Winnellie, 0822, NT"
Parap Primary School,(08) 898 22922,parapps.office@education.nt.gov.au,parapps.office@education.nt.gov.au,"PO Box 69, PARAP, 0804, NT","PO Box 69, PARAP, 0804, NT"
Papunya School,(08) 8956 8515 or (08) 8956 8323,papunya.admin@education.nt.gov.au,papunya.admin@education.nt.gov.au,"PMB 77, via Alice Springs, 0872, NT","PMB 77, via Alice Springs, 0872, NT"
Palmerston Christian School,(08) 7922 5600,admin.pcs@ntschools.net,admin.pcs@ntschools.net,"PO Box 113, Palmerston, 0831, NT","PO Box 113, Palmerston, 0831, NT"
Owen Springs Education Centre,(08) 8958 5088 / (08) 8958 5089,joel.hohn@education.nt.gov.au,joel.hohn@education.nt.gov.au,"PO Box 4856, Alice Springs, 0871, NT","PO Box 4856, Alice Springs, 0871, NT"
OLSH Primary School,(08) 8950 6400,admin.olshalice@nt.catholic.edu.au,admin.olshalice@nt.catholic.edu.au,"PO Box 2508, Alice Springs, 0871, NT","PO Box 2508, Alice Springs, 0871, NT"
Palmerston College,(08) 899 77999,Palmerston.college@education.nt.gov.au,Palmerston.college@education.nt.gov.au,"PO Box 8, PALMERSTON, , NT","PO Box 8, PALMERSTON, , NT"
OLSH Thamarrurr Catholic College,(08) 8978 2477,admin.olshtcs@nt.catholic.edu.au,admin.olshtcs@nt.catholic.edu.au,"Wadeye, Port Keats, via Winnellie, 0822, NT","Wadeye, Port Keats, via Winnellie, 0822, NT"
OLSH College - Traeger Campus,(08) 8950 6400,admin.olshalice@nt.catholic.edu.au,admin.olshalice@nt.catholic.edu.au,"PO Box 2508, Alice Springs, 0871, NT","PO Box 2508, Alice Springs, 0871, NT"
OLSH College - Sadadeen Campus,(08) 8950 6400,admin.olshalice@nt.catholic.edu.au,admin.olshalice@nt.catholic.edu.au,"PO Box 2508, Alice Springs, 0871, NT","PO Box 2508, Alice Springs, 0871, NT"
O'Loughlin Catholic College,(08) 8945 1277,secretary.oloughlin@nt.catholic.edu.au,secretary.oloughlin@nt.catholic.edu.au,"P O Box 41911, Casuarina, 0811, NT","P O Box 41911, Casuarina, 0811, NT"
Nyangatjatjara College - Imanpa Campus,(08) 8956 7038,ceo@nyangatjatjaracollege.org.au,ceo@nyangatjatjaracollege.org.au,"PO Box 171, Yulara, 0872, NT","PO Box 171, Yulara, 0872, NT"
Nyangatjatjara College - Docker Rvr Campus,(08) 8956 7098,ceo@nyangatjatjaracollege.org.au,ceo@nyangatjatjaracollege.org.au,"PO Box 171, Yulara, 0872, NT","PO Box 171, Yulara, 0872, NT"
Numbulwar School,(08) 8975 4650,cheryl.dwyer@education.nt.gov.au,cheryl.dwyer@education.nt.gov.au,"PMB 68, WINELLIE, 0822, NT","PMB 68, WINELLIE, 0822, NT"
Nyirripi School,(08) 8956 8880,ken.millar@education.nt.gov.au,ken.millar@education.nt.gov.au,"PMB 125, via Alice Springs, 0872, NT","PMB 125, via Alice Springs, 0872, NT"
Nyangatjatjara College - Mutitjulu Campus,(08) 8956 2555,ceo@nyangatjatjaracollege.or.au,ceo@nyangatjatjaracollege.or.au,"PO Box 171, Yulara, 0872, NT","PO Box 171, Yulara, 0872, NT"
Ntaria School,(08) 8956 7424,ntariasch.admin@education.nt.gov.au,ntariasch.admin@education.nt.gov.au,"PMB 4, via Alice Springs, 0872, NT","PMB 4, via Alice Springs, 0872, NT"
NT School of Distance Education,(08) 892 22292,ntsde.admin@education.nt.gov.au,ntsde.admin@education.nt.gov.au,"PO Box 40471, Casuarina, 0811, NT","PO Box 40471, Casuarina, 0811, NT"
NT Music School,(08) 896 35550,nt.musicschool@education.nt.gov.au,nt.musicschool@education.nt.gov.au,"PO Box 455, Sanderson, 0813, NT","PO Box 455, Sanderson, 0813, NT"
Nightcliff Middle School,(08) 898 37677,admin.nightms@education.nt.gov.au,admin.nightms@education.nt.gov.au,"90 Aralia St, NIGHTCLIFF, 0810, NT","91 Aralia St, NIGHTCLIFF, 0810, NT"
Nhulunbuy High School,(08) 898 70844,nhulunbuy.high@education.nt.gov.au,nhulunbuy.high@education.nt.gov.au,"PO Box 1096, NHULUNBUY, 0881, NT","PO Box 1096, NHULUNBUY, 0881, NT"
Nhulunbuy Christian School,(08) 8965 2900,admin.ncc@ntschools.net,admin.ncc@ntschools.net,"PO Box 621, Nhulunbuy, 0881, NT","PO Box 621, Nhulunbuy, 0881, NT"
Nightcliff Primary School,(08) 8948 8488,nightcliff.ps@education.nt.gov.au,nightcliff.ps@education.nt.gov.au,"PO BOX 798, NIGHTCLIFF, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT"
Nhulunbuy Primary School,(08) 898 70022,nps.frontoffice@education.nt.gov.au,nps.frontoffice@education.nt.gov.au,"PO Box 321, NHULUNBUY, 0881, NT","PO Box 321, NHULUNBUY, 0881, NT"
Ngukurr School,(08) 8975 4680,ngukurr.cec@education.nt.gov.au,ngukurr.cec@education.nt.gov.au,"PMB 138, KATHERINE, 0851, NT","PMB 138, KATHERINE, 0851, NT"
Nganmarriyanga School,(08) 8978 2380,cindy.ahearn@education.nt.gov.au,cindy.ahearn@education.nt.gov.au,"PMB 85, via WINNELLIE, 0822, NT","PMB 85, via WINNELLIE, 0822, NT"
Nganambala School,(08) 8978 2001,samuel.sailor@education.nt.gov.au,samuel.sailor@education.nt.gov.au,"PMB 218, Via Winnellie, 0822, NT","PMB 218, Via Winnellie, 0822, NT"
Newcastle Waters School,(08) 8964 4566,emily.hubbert@education.nt.gov.au,emily.hubbert@education.nt.gov.au,"Newcastle Waters Station, via Elliott, 0862, NT","Newcastle Waters Station, via Elliott, 0862, NT"
Neutral Junction School,(08) 8956 9754,lorraine.sligar@education.nt.gov.au,lorraine.sligar@education.nt.gov.au,"Neutral Junction, via Alice Springs, 0872, NT","Neutral Junction, via Alice Springs, 0872, NT"
Nemarluk School,(08) 898 50400,admin.nemarluk@education.nt.gov.au,admin.nemarluk@education.nt.gov.au,"PO Box 39729, WINNELLIE, 0821, NT","PO Box 39729, WINNELLIE, 0821, NT"
Nakara Primary School,(08) 8927 9823,nakara.primary@education.nt.gov.au,nakara.primary@education.nt.gov.au,"35 Nakara Tce, Nakara, 0810, NT","36 Nakara Tce, Nakara, 0810, NT"
Mutitjulu School,(08) 8956 2547,mutitjulu.school@education.nt.gov.au,mutitjulu.school@education.nt.gov.au,"PO Box 121, Yulara, 0872, NT","PO Box 121, Yulara, 0872, NT"
Murrupurtiyanuwu Catholic Primary School,(08) 8978 3986,admin.mcs@nt.catholic.edu.au,admin.mcs@nt.catholic.edu.au,"PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT"
Murray Downs School,(08) 8964 1951,natasha.hosny@education.nt.gov.au,natasha.hosny@education.nt.gov.au,"PMB 48, Alice Springs, 0872, NT","PMB 48, Alice Springs, 0872, NT"
Mulga Bore School,(08) 8956 9712,lisa.donoghue@education.nt.gov.au,lisa.donoghue@education.nt.gov.au,"PMB 18, via Alice Springs, 0872, NT","PMB 18, via Alice Springs, 0872, NT"
Mount Allan School,(08) 8956 8860,phil.bartley@education.nt.gov.au,phil.bartley@education.nt.gov.au,"PMB  6, Mount Allan School via Alice Springs, 0872, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT"
Mimik-Ga Centre,(08) 898 37900,admin.mimik-ga@education.nt.gov.au,admin.mimik-ga@education.nt.gov.au,"PO Box 40519, Casuarina, 0811, NT","PO Box 40519, Casuarina, 0811, NT"
Moulden Primary School,(08) 8930 5900,mouldenps.admin@ntschools.net,mouldenps.admin@ntschools.net,"PO Box 80, PALMERSTON, 0831, NT","PO Box 80, PALMERSTON, 0831, NT"
Mother Teresa Catholic Primary School,(08) 7969 5600,principal.motherteresa@nt.catholic.edu.au,principal.motherteresa@nt.catholic.edu.au,"PO Box 1125, Palmerston, 0830, ","PO Box 1125, Palmerston, 0830, "
Moil Primary School,(08) 898 37530,admin.moilsch@education.nt.gov.au,admin.moilsch@education.nt.gov.au,"37 Lanyon Tce, MOIL, 0810, NT","38 Lanyon Tce, MOIL, 0810, NT"
Minyerri School,(08) 8975 9972,amy.dyke@education.nt.gov.au,amy.dyke@education.nt.gov.au,"PMB 40, KATHERINE, 0851, NT","PMB 40, KATHERINE, 0851, NT"
Milyakburra School,(08) 8987 6084,ruth.rawnsley@education.nt.gov.au,ruth.rawnsley@education.nt.gov.au,"PMB 5, Bickerton Island, via Winnellie, 0822, NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT"
Millner Primary School,(08) 792 30333,admin.millnerps@education.nt.gov.au,admin.millnerps@education.nt.gov.au,"41 Sabine Rd, MILLNER, 0810, NT","42 Sabine Rd, MILLNER, 0810, NT"
Milkwood Steiner,08 8947 0608,info@milkwood.nt.edu.au,info@milkwood.nt.edu.au,"PO Box 319, Karama, 0812, NT","PO Box 319, Karama, 0812, NT"
Milingimbi School,(08) 8987 9902,yasmin.steel@education.nt.gov.au,yasmin.steel@education.nt.gov.au,"PMB 54, Milingimbi, via WINNELLIE, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT"
Mataranka School,(08) 8975 4543,telka.zotz@education.nt.gov.au,telka.zotz@education.nt.gov.au,"PO Box 4022, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT"
Marrara Christian School,(08) 8920 2000,admin.mcc@ntschools.net,admin.mcc@ntschools.net,"PO Box 84, Karama, 0812, NT","PO Box 84, Karama, 0812, NT"
Milikapiti School,(08) 8978 3960,chris.armstrong1@education.nt.gov.au,chris.armstrong1@education.nt.gov.au,"PMB 96, via Winnellie, 0822, NT","PMB 96, via Winnellie, 0822, NT"
Middle Point School,(08) 8988 1688,middle.pt@education.nt.gov.au,middle.pt@education.nt.gov.au,"PO Box 96, Humpty Doo, 0836, NT","PO Box 96, Humpty Doo, 0836, NT"
Mbunghara School,(08) 8956 8503,mbunghara.school@education.nt.gov.au,mbunghara.school@education.nt.gov.au,"PMB 242, via Alice Springs, 0872, NT","PMB 242, via Alice Springs, 0872, NT"
Mapuru Yirralka College,(08) 8970 4996,paul.lock@ntschools.net,paul.lock@ntschools.net,"PMB 301, Winnellie, 0821, NT","PMB 301, Winnellie, 0821, NT"
Manyallaluk School,(08) 8975 4438,admin.manyasch@education.nt.gov.au,admin.manyasch@education.nt.gov.au,"PO Box 271, Katherine, 0851, Nt","PO Box 271, Katherine, 0851, Nt"
Manunda Terrace Primary School,(08) 899 77366,manunda.school@education.nt.gov.au,manunda.school@education.nt.gov.au,"31 Manunda Tce, KARAMA, 0812, NT","32 Manunda Tce, KARAMA, 0812, NT"
Mamaruni School,(08) 8979 0255,adam.dicks1@education.nt.gov.au,adam.dicks1@education.nt.gov.au,"PMB 47, via Winnellie, 0822, NT","PMB 47, via Winnellie, 0822, NT"
Malak Primary School,(08) 899 77600,admin.malak@education.nt.gov.au,admin.malak@education.nt.gov.au,"45 Malak Crescent, MALAK, 0812, NT","46 Malak Crescent, MALAK, 0812, NT"
Maningrida School,(08) 8979 5950,maningrida.cec@education.nt.gov.au,maningrida.cec@education.nt.gov.au,"PMB 67, via WINNELLIE, 0822, NT","PMB 67, via WINNELLIE, 0822, NT"
Mackillop Catholic College,08 8930 5757,mackillopcollege@nt.catholic.edu.au,mackillopcollege@nt.catholic.edu.au,"P O Box 2608, Palmerston, 0831, NT","P O Box 2608, Palmerston, 0831, NT"
MacFarlane Primary School,(08) 896 51700,admin.macfasch@education.nt.gov.au,admin.macfasch@education.nt.gov.au,"42 Grevillea Road, KATHERINE EAST, 0850, NT","43 Grevillea Road, KATHERINE EAST, 0850, NT"
Ludmilla Primary School,(08) 898 37888,admin.ludmilla@education.nt.gov.au,admin.ludmilla@education.nt.gov.au,"PO Box 39945, WINNELLIE, 0821, NT","PO Box 39945, WINNELLIE, 0821, NT"
Ltyentye Apurte CEC,(08) 8956 0937,admin.lace@nt.catholic.edu.au,admin.lace@nt.catholic.edu.au,"Santa Teresa, PMB 221, via A/Springs, 0871, NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT"
Living Waters Lutheran School,(08) 8950 0700,living.waters@ntschools.net,living.waters@ntschools.net,"PO Box 8869, Alice Springs, 0871, NT","PO Box 8869, Alice Springs, 0871, NT"
Leanyer Primary School,(08) 8927 4022,admin.leanyer@education.nt.gov.au,admin.leanyer@education.nt.gov.au,"114 Leanyer Drive, LEANYER, 0812, NT","115 Leanyer Drive, LEANYER, 0812, NT"
Larrakeyah Primary School,(08) 8981 3211,larrakeyah.admin@education.nt.gov.au,larrakeyah.admin@education.nt.gov.au,"PO Box 412, DARWIN, 0801, NT","PO Box 412, DARWIN, 0801, NT"
Lajamanu School,(08) 8975 0946,admin.lajamcec@education.nt.gov.au,admin.lajamcec@education.nt.gov.au,"PMB 63, via Katherine, 0851, NT","PMB 63, via Katherine, 0851, NT"
